Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Updated strength values - s_a: 1.0, s_b: 1.0
Configuration saved.
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Updated strength values - s_a: 0.0, s_b: 0.0
Configuration saved.
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
Extracted crew_total: 3.0, crew_current: 3.0, driver_state: 0.0, gunner_state: 0.0
